application_for,open_date_year,response_rate_met,ballots_in_favour,ballots_opposed,ballots_returned,ballots_distributed,poll_result
Appeal - Front Yard Parking,2015,Yes,29,8,37,123,In Favour
Appeal - Front Yard Parking,2015,Yes,8,4,12,35,In Favour
Front Yard Parking,2015,Yes,15,6,21,33,In Favour
Front Yard Parking,2015,Yes,21,0,21,32,In Favour
Front Yard Parking,2015,Yes,20,0,20,52,In Favour
Front Yard Parking,2015,Yes,19,1,20,38,In Favour
Traffic Calming,2015,No,119,21,140,319,Response Rate Not Met
Permit Parking,2015,No,28,28,56,294,Response Rate Not Met
Appeal - Front Yard Parking,2015,Yes,23,0,23,49,In Favour
Front Yard Parking,2015,Yes,20,0,20,68,In Favour
Appeal - Front Yard Parking,2015,Yes,33,7,40,95,In Favour
Front Yard Parking,2015,Yes,45,0,45,74,In Favour
Front Yard Parking,2015,Yes,36,0,36,78,In Favour
Appeal - Front Yard Parking,2015,Yes,28,3,31,85,In Favour
Commercial Boulevard Parking,2015,No,5,5,10,86,Response Rate Not Met
Commercial Boulevard Parking,2015,Yes,5,6,11,28,Opposed
Commercial Boulevard Parking,2015,No,4,6,10,85,Response Rate Not Met
Front Yard Parking,2015,Yes,39,7,46,103,In Favour
Front Yard Parking,2015,Yes,12,0,12,28,In Favour
Front Yard Parking,2015,Yes,30,1,31,114,In Favour
Front Yard Parking,2015,Yes,21,3,24,65,In Favour
Front Yard Parking,2015,No,25,8,33,153,Response Rate Not Met
Front Yard Parking,2015,Yes,50,0,50,102,In Favour
Traffic Calming,2015,No,59,11,70,205,Response Rate Not Met
Front Yard Parking,2015,Yes,54,2,56,100,In Favour
Front Yard Parking,2015,Yes,45,0,45,100,In Favour
Front Yard Parking,2015,Yes,16,0,16,39,In Favour
Front Yard Parking,2015,Yes,39,6,45,144,In Favour
Front Yard Parking,2015,Yes,21,0,21,46,In Favour
Front Yard Parking,2015,Yes,24,0,24,37,In Favour
Appeal - Front Yard Parking,2015,Yes,19,3,22,29,In Favour
Appeal - Front Yard Parking,2015,Yes,23,6,29,84,In Favour
Appeal - Front Yard Parking,2015,Yes,6,17,23,48,Opposed
Appeal - Front Yard Parking,2015,Yes,43,10,53,147,In Favour
Appeal - Front Yard Parking,2015,Yes,14,0,14,47,In Favour
Appeal - Front Yard Parking,2015,Yes,19,0,19,42,In Favour
Proposed Business Improvement Area,2015,Yes,18,2,20,62,In Favour
Traffic Calming,2015,No,201,40,241,1637,Response Rate Not Met
Traffic Calming,2015,No,44,77,121,451,Response Rate Not Met
Front Yard Parking,2015,Yes,28,0,28,50,In Favour
Front Yard Parking,2015,Yes,31,0,31,91,In Favour
Front Yard Parking,2015,Yes,26,10,36,146,In Favour
Appeal - Front Yard Parking,2015,Yes,25,3,28,60,In Favour
Traffic Calming,2015,No,194,146,340,1312,Response Rate Not Met
Traffic Calming,2015,No,68,27,95,764,Response Rate Not Met
Traffic Calming,2015,No,24,5,29,83,Response Rate Not Met
Traffic Calming,2015,Yes,18,3,21,34,In Favour
Front Yard Parking,2015,Yes,32,0,32,62,In Favour
Front Yard Parking,2015,Yes,35,1,36,79,In Favour
Traffic Calming,2015,No,78,28,106,270,Response Rate Not Met
Boulevard Cafe,2015,Yes,1,35,36,81,Opposed
Traffic Calming,2016,Yes,103,84,187,305,Opposed
Traffic Calming,2016,Yes,96,16,112,189,In Favour
Traffic Calming,2016,Yes,84,101,185,297,Opposed
Traffic Calming,2015,No,178,94,272,1652,Response Rate Not Met
Traffic Calming,2015,Yes,34,10,44,87,In Favour
Boulevard Cafe,2015,No,3,1,4,82,Response Rate Not Met
Permit Parking,2015,Yes,9,13,22,53,Opposed
Traffic Calming,2016,Yes,37,22,59,106,Opposed
Appeal - Front Yard Parking,2016,Yes,22,0,22,77,In Favour
Front Yard Parking,2016,Yes,41,0,41,87,In Favour
Front Yard Parking,2016,Yes,38,2,40,105,In Favour
Front Yard Parking,2016,Yes,7,4,11,22,In Favour
Appeal - Front Yard Parking,2016,Yes,26,4,30,81,In Favour
Appeal - Front Yard Parking,2016,Yes,24,2,26,110,In Favour
Appeal - Front Yard Parking,2016,Yes,44,13,57,141,In Favour
Appeal - Front Yard Parking,2016,Yes,27,2,29,88,In Favour
Permit Parking,2016,No,10,11,21,101,Response Rate Not Met
Permit Parking,2016,Yes,22,26,48,90,Opposed
Permit Parking,2016,Yes,13,23,36,89,Opposed
Front Yard Parking,2016,Yes,42,0,42,84,In Favour
Front Yard Parking,2016,Yes,28,1,29,46,In Favour
Appeal - Front Yard Parking,2016,Yes,26,13,39,130,In Favour
Traffic Calming,2016,Yes,35,14,49,87,In Favour
Appeal - Front Yard Parking,2016,Yes,22,1,23,58,In Favour
Appeal - Front Yard Parking,2016,Yes,13,0,13,21,In Favour
Appeal - Front Yard Parking,2016,Yes,17,0,17,26,In Favour
Appeal - Front Yard Parking,2016,Yes,25,7,32,62,In Favour
Front Yard Parking,2016,Yes,57,10,67,140,In Favour
Appeal - Front Yard Parking,2016,Yes,33,1,34,85,In Favour
Appeal - Front Yard Parking,2016,Yes,16,1,17,62,In Favour
Permit Parking,2016,Yes,10,14,24,60,Opposed
Front Yard Parking,2016,Yes,37,4,41,117,In Favour
Front Yard Parking,2016,Yes,45,18,63,125,In Favour
Front Yard Parking,2016,Yes,35,0,35,109,In Favour
Appeal - Front Yard Parking,2016,Yes,40,2,42,77,In Favour
Traffic Calming,2016,No,49,9,58,130,Response Rate Not Met
Boulevard Cafe,2016,Yes,36,17,53,114,In Favour
Appeal - Front Yard Parking,2016,Yes,38,20,58,131,In Favour
Appeal - Front Yard Parking,2016,Yes,17,1,18,53,In Favour
Appeal - Front Yard Parking,2016,Yes,25,21,46,136,In Favour
Appeal - Front Yard Parking,2016,Yes,18,7,25,61,In Favour
Appeal - Front Yard Parking,2016,Yes,26,14,40,108,In Favour
Appeal - Front Yard Parking,2016,Yes,32,3,35,116,In Favour
Front Yard Parking,2016,Yes,44,2,46,79,In Favour
Permit Parking,2016,Yes,0,9,9,23,Opposed
Permit Parking,2016,Yes,36,16,52,150,In Favour
Traffic Calming,2016,No,36,12,48,138,Response Rate Not Met
Appeal - Front Yard Parking,2016,Yes,21,3,24,69,In Favour
Permit Parking,2016,No,133,79,212,1847,Response Rate Not Met
Traffic Calming,2016,No,17,25,42,143,Response Rate Not Met
Traffic Calming,2016,No,66,38,104,495,Response Rate Not Met
Front Yard Parking,2016,Yes,14,0,14,23,In Favour
Traffic Calming,2016,No,536,382,918,2424,Response Rate Not Met
Front Yard Parking,2016,Yes,81,1,82,159,In Favour
Commercial Boulevard Parking,2016,No,1,3,4,45,Response Rate Not Met
Commercial Boulevard Parking,2016,No,0,0,0,46,Response Rate Not Met
Front Yard Parking,2016,Yes,43,2,45,82,In Favour
Front Yard Parking,2016,Yes,39,5,44,73,In Favour
Boulevard Cafe,2016,No,3,5,8,51,Response Rate Not Met
Appeal - Front Yard Parking,2016,Yes,27,25,52,117,Opposed
Boulevard Cafe,2016,Yes,37,15,52,99,In Favour
Appeal - Front Yard Parking,2016,Yes,32,11,43,115,In Favour
Appeal - Front Yard Parking,2016,Yes,27,18,45,145,In Favour
Front Yard Parking,2016,Yes,25,3,28,68,In Favour
Boulevard Cafe,2016,No,14,5,19,129,Response Rate Not Met
Traffic Calming,2016,No,46,2,48,116,Response Rate Not Met
Appeal - Front Yard Parking,2016,Yes,6,26,32,58,Opposed
Front Yard Parking,2016,Yes,14,0,14,28,In Favour
Appeal - Front Yard Parking,2016,Yes,87,2,89,253,In Favour
Appeal - Front Yard Parking,2016,Yes,53,9,62,151,In Favour
Boulevard Cafe,2016,No,6,3,9,95,Response Rate Not Met
Traffic Calming – Island,2016,No,16,2,18,63,Response Rate Not Met
Front Yard Parking,2016,Yes,34,6,40,83,In Favour
Appeal - Front Yard Parking,2016,Yes,8,15,23,37,Opposed
Appeal - Front Yard Parking,2016,Yes,23,10,33,138,In Favour
Appeal - Front Yard Parking,2016,Yes,12,31,43,80,Opposed
Appeal - Front Yard Parking,2016,Yes,24,10,34,85,In Favour
Front Yard Parking,2016,Yes,46,4,50,86,In Favour
Front Yard Parking,2016,Yes,54,2,56,96,In Favour
Boulevard Cafe,2016,Yes,17,19,36,131,Opposed
Appeal - Front Yard Parking,2016,Yes,11,4,15,66,In Favour
Boulevard Cafe,2016,No,12,0,12,104,Response Rate Not Met
Boulevard Cafe,2016,Yes,8,19,27,76,Opposed
Boulevard Cafe,2016,Yes,9,1,10,44,In Favour
Proposed Business Improvement Area,2016,Yes,6,2,8,29,In Favour
Front Yard Parking,2016,Yes,25,5,30,61,In Favour
Front Yard Parking,2016,Yes,52,4,56,126,In Favour
Appeal - Front Yard Parking,2016,Yes,21,8,29,98,In Favour
Traffic Calming,2016,Yes,12,3,15,25,In Favour
Boulevard Cafe,2016,No,2,0,2,39,Response Rate Not Met
Traffic Calming,2016,No,21,4,25,51,Response Rate Not Met
Front Yard Parking,2016,Yes,51,0,51,153,In Favour
Appeal - Front Yard Parking,2016,Yes,24,6,30,69,In Favour
Appeal - Front Yard Parking,2016,Yes,14,0,14,51,In Favour
Appeal - Front Yard Parking,2016,Yes,61,6,67,149,In Favour
Appeal - Front Yard Parking,2016,Yes,64,5,69,117,In Favour
Appeal - Front Yard Parking,2016,Yes,67,5,72,117,In Favour
Boulevard Cafe,2016,Yes,4,19,23,63,Opposed
Traffic Calming,2016,No,53,15,68,166,Response Rate Not Met
Front Yard Parking,2016,Yes,57,7,64,212,In Favour
Traffic Calming,2016,Yes,50,30,80,140,Opposed
Traffic Calming,2016,Yes,32,2,34,63,In Favour
Front Yard Parking,2016,Yes,33,4,37,67,In Favour
Appeal - Front Yard Parking,2016,Yes,21,2,23,51,In Favour
Appeal - Front Yard Parking,2016,Yes,44,5,49,89,In Favour
Front Yard Parking,2016,Yes,20,2,22,29,In Favour
Appeal - Front Yard Parking,2016,Yes,10,5,15,35,In Favour
Permit Parking,2016,Yes,2,0,2,6,Opposed
Traffic Calming,2016,No,18,7,25,116,Response Rate Not Met
Traffic Calming,2016,No,57,14,71,175,Response Rate Not Met
Front Yard Parking,2016,Yes,40,1,41,93,In Favour
Boulevard Cafe,2016,Yes,2,13,15,47,Opposed
Appeal - Front Yard Parking,2016,Yes,13,4,17,23,In Favour
Front Yard Parking,2016,Yes,41,1,42,45,In Favour
Boulevard Cafe,2016,Yes,38,18,56,143,In Favour
Boulevard Cafe,2016,No,14,13,27,149,Response Rate Not Met
Boulevard Cafe,2016,Yes,6,0,6,34,In Favour
Boulevard Cafe,2016,Yes,16,2,18,71,In Favour
Appeal - Front Yard Parking,2016,Yes,31,0,31,95,In Favour
Front Yard Parking,2016,Yes,85,2,87,119,In Favour
Front Yard Parking,2016,Yes,26,23,49,114,Opposed
Appeal - Front Yard Parking,2016,Yes,37,7,44,70,In Favour
Front Yard Parking,2016,Yes,34,2,36,110,In Favour
Front Yard Parking,2016,Yes,46,1,47,76,In Favour
Front Yard Parking,2016,Yes,54,14,68,130,In Favour
Boulevard Cafe,2016,Yes,5,5,10,44,Opposed
Front Yard Parking,2016,Yes,10,2,12,23,In Favour
Traffic Calming,2016,Yes,19,22,41,72,Opposed
Traffic Calming,2016,Yes,24,9,33,64,In Favour
Boulevard Cafe,2016,Yes,2,5,7,13,Opposed
Traffic Calming,2016,No,5,6,11,30,Response Rate Not Met
Traffic Calming,2016,Yes,43,27,70,116,Opposed
Traffic Calming,2016,No,46,28,74,319,Response Rate Not Met
Traffic Calming,2016,Yes,61,24,85,188,In Favour
Traffic Calming,2016,No,25,0,25,64,Response Rate Not Met
Front Yard Parking,2016,Yes,39,5,44,103,In Favour
Front Yard Parking,2016,Yes,35,1,36,70,In Favour
Appeal - Front Yard Parking,2016,Yes,30,0,30,48,In Favour
Appeal - Front Yard Parking,2016,Yes,46,22,68,133,In Favour
Front Yard Parking,2016,Yes,38,2,40,78,In Favour
Appeal - Front Yard Parking,2016,Yes,74,8,82,194,In Favour
Front Yard Parking,2016,Yes,26,0,26,44,In Favour
Appeal - Front Yard Parking,2016,Yes,6,1,7,15,In Favour
Front Yard Parking,2016,Yes,32,1,33,46,In Favour
Boulevard Cafe,2016,No,7,13,20,127,Response Rate Not Met
Traffic Calming,2016,No,138,48,186,461,Response Rate Not Met
Boulevard Cafe,2016,No,1,2,3,14,Response Rate Not Met
Boulevard Cafe,2016,Yes,2,25,27,115,Opposed
Boulevard Cafe,2016,Yes,25,11,36,118,In Favour
Boulevard Cafe,2016,Yes,17,5,22,114,In Favour
Boulevard Cafe,2016,Yes,23,0,23,66,In Favour
Boulevard Cafe,2016,No,0,0,0,5,Response Rate Not Met
Appeal - Front Yard Parking,2016,Yes,17,9,26,71,In Favour
Traffic Calming,2016,No,76,24,100,225,Response Rate Not Met
Appeal - Front Yard Parking,2016,Yes,60,0,60,116,In Favour
Appeal - Front Yard Parking,2016,Yes,35,6,41,125,In Favour
Front Yard Parking,2016,Yes,10,0,10,12,In Favour
Front Yard Parking,2016,Yes,22,1,23,40,In Favour
Appeal - Front Yard Parking,2016,Yes,22,8,30,81,In Favour
Front Yard Parking,2016,Yes,48,0,48,88,In Favour
Front Yard Parking,2016,Yes,27,1,28,41,In Favour
Front Yard Parking,2016,Yes,30,7,37,64,In Favour
Front Yard Parking,2016,Yes,41,1,42,96,In Favour
Appeal - Front Yard Parking,2016,Yes,27,0,27,112,In Favour
Appeal - Front Yard Parking,2016,Yes,48,5,53,117,In Favour
Front Yard Parking,2016,Yes,65,3,68,136,In Favour
Front Yard Parking,2016,Yes,44,1,45,83,In Favour
Appeal - Front Yard Parking,2016,Yes,31,2,33,84,In Favour
Appeal - Front Yard Parking,2016,Yes,30,4,34,85,In Favour
Appeal - Front Yard Parking,2016,No,16,5,21,140,Response Rate Not Met
Traffic Calming,2016,Yes,22,4,26,31,In Favour
Front Yard Parking,2016,Yes,55,0,55,74,In Favour
Front Yard Parking,2016,Yes,47,0,47,106,In Favour
Appeal - Front Yard Parking,2016,Yes,49,4,53,153,In Favour
Appeal - Front Yard Parking,2016,Yes,31,2,33,106,In Favour
Traffic Calming – Island,2016,Yes,15,10,25,30,Opposed
Front Yard Parking,2016,Yes,13,0,13,50,In Favour
Front Yard Parking,2016,Yes,21,1,22,93,In Favour
Boulevard Cafe,2016,Yes,4,6,10,20,Opposed
Traffic Calming,2016,No,170,39,209,569,Response Rate Not Met
Appeal - Front Yard Parking,2016,Yes,36,3,39,92,In Favour
Appeal - Front Yard Parking,2016,Yes,30,6,36,73,In Favour
Appeal - Front Yard Parking,2016,Yes,24,17,41,136,In Favour
Appeal - Front Yard Parking,2016,Yes,22,0,22,40,In Favour
Appeal - Front Yard Parking,2016,Yes,32,8,40,121,In Favour
Appeal - Front Yard Parking,2016,Yes,29,7,36,109,In Favour
Appeal - Front Yard Parking,2016,Yes,27,5,32,70,In Favour
Appeal - Front Yard Parking,2016,Yes,27,13,40,130,In Favour
Appeal - Front Yard Parking,2016,Yes,32,16,48,130,In Favour
Appeal - Front Yard Parking,2016,Yes,19,1,20,47,In Favour
Boulevard Cafe,2016,No,17,4,21,162,Response Rate Not Met
Front Yard Parking,2016,Yes,43,1,44,70,In Favour
Permit Parking,2016,No,2,3,5,31,Response Rate Not Met
Front Yard Parking,2016,Yes,41,6,47,105,In Favour
Appeal - Front Yard Parking,2016,Yes,23,20,43,90,Opposed
Front Yard Parking,2016,Yes,38,0,38,83,In Favour
Front Yard Parking,2016,Yes,29,4,33,59,In Favour
Front Yard Parking,2016,Yes,31,4,35,82,In Favour
Front Yard Parking,2016,Yes,25,1,26,83,In Favour
Front Yard Parking,2016,Yes,26,1,27,53,In Favour
Appeal - Front Yard Parking,2016,Yes,55,5,60,135,In Favour
Appeal - Front Yard Parking,2016,Yes,38,0,38,92,In Favour
Appeal - Front Yard Parking,2016,Yes,45,0,45,70,In Favour
Appeal - Front Yard Parking,2016,Yes,18,12,30,93,Opposed
Commercial Boulevard Parking,2016,Yes,11,11,22,64,Opposed
Front Yard Parking,2016,Yes,13,23,36,104,Opposed
Front Yard Parking,2016,Yes,52,10,62,156,In Favour
Front Yard Parking,2016,Yes,28,6,34,74,In Favour
Front Yard Parking,2016,Yes,54,0,54,109,In Favour
Boulevard Cafe,2016,No,13,0,13,99,Response Rate Not Met
Appeal - Front Yard Parking,2016,Yes,41,4,45,78,In Favour
Appeal - Front Yard Parking,2016,Yes,42,4,46,83,In Favour
Front Yard Parking,2016,Yes,10,0,10,20,In Favour
Front Yard Parking,2016,Yes,29,2,31,47,In Favour
Front Yard Parking,2016,Yes,26,0,26,42,In Favour
Commercial Boulevard Parking,2016,No,3,0,3,24,Response Rate Not Met
Front Yard Parking,2016,Yes,35,0,35,97,In Favour
Front Yard Parking,2016,Yes,7,0,7,19,In Favour
Front Yard Parking,2016,Yes,31,0,31,38,In Favour
Front Yard Parking,2016,Yes,55,8,63,102,In Favour
Traffic Calming,2016,Yes,19,8,27,55,In Favour
Traffic Calming,2016,No,41,25,66,163,Response Rate Not Met
Appeal - Front Yard Parking,2016,Yes,31,1,32,42,In Favour
Appeal - Front Yard Parking,2016,Yes,20,4,24,97,In Favour
Appeal - Front Yard Parking,2016,Yes,12,17,29,65,Opposed
Appeal - Front Yard Parking,2016,Yes,12,4,16,38,In Favour
Appeal - Front Yard Parking,2016,Yes,30,2,32,66,In Favour
Appeal - Front Yard Parking,2016,Yes,50,0,50,96,In Favour
Appeal - Front Yard Parking,2016,Yes,22,27,49,135,Opposed
Appeal - Front Yard Parking,2016,Yes,12,9,21,70,Opposed
Front Yard Parking,2016,Yes,40,1,41,107,In Favour
Front Yard Parking,2016,Yes,41,0,41,65,In Favour
Front Yard Parking,2016,Yes,24,0,24,39,In Favour
Permit Parking,2017,Yes,16,17,33,140,Opposed
Boulevard Cafe,2017,Yes,15,7,22,92,In Favour
Permit Parking,2016,Yes,44,8,52,205,In Favour
Permit Parking,2017,Yes,7,3,10,22,In Favour
Front Yard Parking,2016,Yes,29,0,29,76,In Favour
Boulevard Cafe,2017,Yes,25,10,35,65,In Favour
Front Yard Parking,2017,Yes,13,1,14,54,In Favour
Front Yard Parking,2017,Yes,25,1,26,60,In Favour
Front Yard Parking,2017,Yes,33,2,35,50,In Favour
Front Yard Parking,2017,Yes,36,4,40,133,In Favour
Front Yard Parking,2017,Yes,4,0,4,11,In Favour
Front Yard Parking,2017,Yes,24,0,24,40,In Favour
Permit Parking,2017,Yes,12,11,23,61,Opposed
Permit Parking,2017,Yes,16,47,63,121,Opposed
Appeal - Front Yard Parking,2017,Yes,31,2,33,107,In Favour
Front Yard Parking,2017,Yes,54,0,54,97,In Favour
Front Yard Parking,2017,Yes,13,0,13,41,In Favour
Front Yard Parking,2017,Yes,34,0,34,74,In Favour
Appeal - Front Yard Parking,2017,Yes,4,16,20,37,Opposed
Front Yard Parking,2017,Yes,22,1,23,31,In Favour
Permit Parking,2017,Yes,6,7,13,21,Opposed
Permit Parking,2017,Yes,32,25,57,167,In Favour
Permit Parking,2017,Yes,8,26,34,57,Opposed
Front Yard Parking,2017,Yes,35,14,49,111,In Favour
Appeal - Front Yard Parking,2017,Yes,53,0,53,79,In Favour
Front Yard Parking,2017,Yes,50,2,52,100,In Favour
Front Yard Parking,2017,Yes,57,0,57,102,In Favour
Appeal - Front Yard Parking,2017,Yes,66,5,71,185,In Favour
Appeal - Front Yard Parking,2017,Yes,24,0,24,79,In Favour
Front Yard Parking,2017,Yes,40,0,40,116,In Favour
Appeal - Front Yard Parking,2017,Yes,53,3,56,165,In Favour
Appeal - Front Yard Parking,2017,Yes,40,7,47,130,In Favour
Appeal - Front Yard Parking,2017,Yes,59,21,80,138,In Favour
Boulevard Cafe,2017,Yes,2,1,3,14,Opposed
Boulevard Cafe,2017,Yes,7,28,35,87,Opposed
Front Yard Parking,2017,Yes,29,11,40,99,In Favour
Front Yard Parking,2017,Yes,12,0,12,26,In Favour
Front Yard Parking,2017,Yes,43,2,45,115,In Favour
Front Yard Parking,2017,Yes,30,0,30,96,In Favour
Front Yard Parking,2017,Yes,21,0,21,40,In Favour
Front Yard Parking,2017,Yes,25,0,25,64,In Favour
Front Yard Parking,2017,Yes,29,8,37,98,In Favour
Front Yard Parking,2017,Yes,36,6,42,94,In Favour
Front Yard Parking,2017,Yes,15,0,15,34,In Favour
Appeal - Front Yard Parking,2017,Yes,41,2,43,116,In Favour
Appeal - Front Yard Parking,2017,Yes,34,5,39,111,In Favour
Appeal - Front Yard Parking,2017,Yes,17,2,19,70,In Favour
Permit Parking,2017,Yes,15,8,23,48,In Favour
Front Yard Parking,2017,Yes,12,0,12,18,In Favour
Appeal - Front Yard Parking,2017,Yes,8,2,10,44,In Favour
Traffic Calming,2017,Yes,6,7,13,21,Opposed
Traffic Calming,2017,No,63,30,93,238,Response Rate Not Met
Traffic Calming,2017,No,25,2,27,84,Response Rate Not Met
Boulevard Cafe,2017,Yes,13,0,13,39,In Favour
Front Yard Parking,2017,Yes,33,2,35,106,In Favour
Front Yard Parking,2017,Yes,17,0,17,46,In Favour
Front Yard Parking,2017,Yes,37,8,45,75,In Favour
Traffic Calming,2017,No,56,6,62,160,Response Rate Not Met
Front Yard Parking,2017,Yes,31,2,33,88,In Favour
Front Yard Parking,2017,Yes,35,0,35,75,In Favour
Appeal - Front Yard Parking,2017,Yes,20,4,24,77,In Favour
Front Yard Parking,2017,Yes,44,10,54,120,In Favour
Boulevard Cafe,2017,No,1,5,6,49,Response Rate Not Met
Boulevard Cafe,2017,No,4,1,5,38,Response Rate Not Met
Traffic Calming,2017,Yes,30,21,51,89,Opposed
Traffic Calming,2017,No,86,23,109,271,Response Rate Not Met
Traffic Calming,2017,Yes,54,19,73,132,In Favour
Front Yard Parking,2017,Yes,43,7,50,89,In Favour
Appeal - Front Yard Parking,2017,Yes,28,3,31,103,In Favour
Appeal - Front Yard Parking,2017,Yes,6,0,6,21,In Favour
Appeal - Front Yard Parking,2017,Yes,19,33,52,122,Opposed
Appeal - Front Yard Parking,2017,Yes,23,8,31,120,In Favour
Appeal - Front Yard Parking,2017,Yes,10,20,30,49,Opposed
Appeal - Front Yard Parking,2017,Yes,18,3,21,51,In Favour
Appeal - Front Yard Parking,2017,Yes,40,10,50,142,In Favour
Appeal - Front Yard Parking,2017,Yes,30,1,31,63,In Favour
Appeal - Front Yard Parking,2017,Yes,11,0,11,28,In Favour
Appeal - Front Yard Parking,2017,Yes,55,7,62,129,In Favour
Front Yard Parking,2017,Yes,49,4,53,93,In Favour
Front Yard Parking,2017,Yes,39,0,39,128,In Favour
Front Yard Parking,2017,Yes,32,4,36,120,In Favour
Appeal - Front Yard Parking,2017,Yes,26,2,28,68,In Favour
Traffic Calming,2017,No,46,32,78,194,Response Rate Not Met
Front Yard Parking,2017,Yes,16,2,18,88,In Favour
